Date,MINERvA POT,MINERvAxMINOS POT,POT Delivered,MINERvA Efficiency,MINERvA×MINOS Efficiency,DAQ Clock Livetime,MINERvA Total POT,MINERvA×MINOS Total POT,Delivered Total POT
2013-09-06,1.60E+17,1.53E+17,1.65E+17,96.71,92.66,,1.600E+17,1.530E+17,1.650E+17
2013-09-07,4.64E+17,4.56E+17,4.72E+17,98.48,96.74,,6.240E+17,6.090E+17,6.370E+17
2013-09-08,3.38E+17,3.37E+17,3.74E+17,90.53,90.16,,9.620E+17,9.460E+17,1.011E+18
2013-09-09,4.77E+17,4.23E+17,5.35E+17,89.17,79.06,,1.439E+18,1.369E+18,1.546E+18
2013-09-10,1.86E+17,6.06E+16,1.98E+17,93.96,30.64,,1.625E+18,1.430E+18,1.744E+18
2013-09-11,5.34E+17,5.30E+17,5.46E+17,97.83,97.21,,2.159E+18,1.960E+18,2.290E+18
2013-09-12,8.69E+17,8.66E+17,8.82E+17,98.53,98.24,,3.028E+18,2.826E+18,3.172E+18
2013-09-13,7.40E+17,7.40E+17,7.65E+17,96.71,96.71,,3.768E+18,3.566E+18,3.937E+18
2013-09-14,9.38E+17,9.31E+17,9.49E+17,98.9,98.15,,4.706E+18,4.497E+18,4.886E+18
2013-09-15,8.05E+17,7.96E+17,8.14E+17,98.88,97.68,,5.511E+18,5.293E+18,5.700E+18
2013-09-16,7.82E+17,7.79E+17,7.91E+17,98.88,98.48,,6.293E+18,6.072E+18,6.491E+18
2013-09-17,6.65E+17,6.65E+17,6.84E+17,97.28,97.28,,6.958E+18,6.737E+18,7.175E+18
2013-09-18,5.93E+17,5.82E+17,6.11E+17,97.01,95.2,,7.551E+18,7.319E+18,7.786E+18
2013-09-19,2.62E+17,2.62E+17,2.68E+17,98.03,98.03,,7.813E+18,7.581E+18,8.054E+18
2013-09-20,7.22E+17,6.69E+17,7.29E+17,99.08,91.84,,8.535E+18,8.250E+18,8.783E+18
2013-09-21,8.10E+17,7.09E+17,8.22E+17,98.55,86.25,,9.345E+18,8.959E+18,9.605E+18
2013-09-22,6.46E+17,5.02E+17,6.52E+17,99.11,76.98,,9.991E+18,9.461E+18,1.026E+19
2013-09-23,6.81E+17,6.80E+17,6.95E+17,97.91,97.79,,1.067E+19,1.014E+19,1.095E+19
2013-09-24,8.33E+17,8.23E+17,8.40E+17,99.19,97.97,,1.151E+19,1.096E+19,1.179E+19
2013-09-25,8.94E+17,8.86E+17,9.04E+17,98.8,97.95,,1.240E+19,1.185E+19,1.270E+19
2013-09-26,1.03E+18,1.03E+18,1.04E+18,99.14,98.5,,1.343E+19,1.288E+19,1.374E+19
2013-09-27,8.62E+17,8.19E+17,9.38E+17,91.9,87.34,,1.429E+19,1.370E+19,1.467E+19
2013-09-28,1.04E+18,1.03E+18,1.05E+18,99.2,98.16,,1.533E+19,1.473E+19,1.572E+19
2013-09-29,1.07E+18,1.06E+18,1.08E+18,99.05,97.38,,1.640E+19,1.579E+19,1.680E+19
2013-09-30,9.07E+17,9.05E+17,9.15E+17,99.12,98.91,,1.731E+19,1.669E+19,1.772E+19
2013-10-01,9.92E+17,9.81E+17,1.01E+18,98.47,97.38,,1.830E+19,1.767E+19,1.873E+19
2013-10-02,1.11E+18,1.10E+18,1.12E+18,99.05,98.33,,1.941E+19,1.877E+19,1.985E+19
2013-10-03,8.72E+17,8.72E+17,8.80E+17,99.08,99.08,,2.028E+19,1.965E+19,2.073E+19
2013-10-04,7.36E+17,7.33E+17,7.42E+17,99.18,98.74,,2.102E+19,2.038E+19,2.147E+19
2013-10-05,9.17E+17,9.07E+17,9.24E+17,99.22,98.15,,2.194E+19,2.129E+19,2.240E+19
2013-10-06,9.95E+17,9.89E+17,1.00E+18,99.26,98.69,,2.293E+19,2.228E+19,2.340E+19
2013-10-07,8.59E+17,8.56E+17,8.97E+17,95.73,95.43,,2.379E+19,2.313E+19,2.429E+19
2013-10-08,2.63E+16,2.63E+16,2.67E+16,98.55,98.55,,2.382E+19,2.316E+19,2.432E+19
2013-10-09,0.00E+00,0.00E+00,1.40E+14,0,0,,2.382E+19,2.316E+19,2.432E+19
2013-10-10,0.00E+00,0.00E+00,3.02E+13,0,0,,2.382E+19,2.316E+19,2.432E+19
2013-10-11,4.05E+17,4.04E+17,4.09E+17,99.12,98.74,,2.422E+19,2.356E+19,2.473E+19
2013-10-12,6.37E+17,6.37E+17,6.44E+17,98.93,98.93,,2.486E+19,2.420E+19,2.537E+19
2013-10-13,1.01E+18,9.91E+17,1.02E+18,99.13,97.39,,2.587E+19,2.519E+19,2.639E+19
2013-10-14,9.92E+17,9.89E+17,1.00E+18,99.17,98.89,,2.686E+19,2.618E+19,2.739E+19
2013-10-15,2.62E+17,2.62E+17,2.65E+17,98.86,98.86,,2.712E+19,2.644E+19,2.766E+19
2013-10-16,6.69E+16,6.69E+16,6.77E+16,98.78,98.78,,2.719E+19,2.651E+19,2.772E+19
2013-10-17,6.73E+17,6.70E+17,6.81E+17,98.72,98.33,,2.786E+19,2.718E+19,2.841E+19
2013-10-18,9.86E+17,9.17E+17,1.01E+18,97.47,90.74,,2.885E+19,2.810E+19,2.942E+19
2013-10-19,1.02E+18,1.01E+18,1.03E+18,98.46,97.69,,2.986E+19,2.910E+19,3.045E+19
2013-10-20,9.32E+17,4.70E+17,9.47E+17,98.37,49.59,,3.079E+19,2.957E+19,3.139E+19
2013-10-21,9.42E+17,0.00E+00,9.68E+17,97.3,0,,3.174E+19,2.957E+19,3.236E+19
2013-10-22,1.03E+18,5.47E+17,1.05E+18,97.83,52.16,,3.277E+19,3.012E+19,3.341E+19
2013-10-23,2.66E+17,2.66E+17,2.70E+17,98.79,98.79,,3.303E+19,3.039E+19,3.368E+19
2013-10-24,4.05E+16,4.05E+16,4.11E+16,98.46,98.46,,3.307E+19,3.043E+19,3.372E+19
2013-10-25,1.01E+18,1.00E+18,1.02E+18,98.95,98.15,,3.408E+19,3.143E+19,3.474E+19
2013-10-26,1.18E+18,1.18E+18,1.20E+18,98.99,98.72,,3.526E+19,3.261E+19,3.594E+19
2013-10-27,1.09E+18,1.08E+18,1.10E+18,98.66,98.38,,3.635E+19,3.369E+19,3.704E+19
2013-10-28,1.16E+18,1.16E+18,1.18E+18,98.95,98.68,,3.751E+19,3.485E+19,3.822E+19
2013-10-29,6.27E+17,6.27E+17,6.33E+17,99.02,99.02,,3.814E+19,3.547E+19,3.885E+19
2013-10-30,2.89E+17,2.88E+17,2.92E+17,99.18,98.67,,3.843E+19,3.576E+19,3.915E+19
2013-10-31,7.73E+17,7.70E+17,7.80E+17,99.1,98.71,,3.920E+19,3.653E+19,3.993E+19
2013-11-01,8.41E+17,8.08E+17,8.58E+17,98,94.16,,4.004E+19,3.734E+19,4.078E+19
2013-11-02,1.09E+18,1.09E+18,1.10E+18,99.05,98.78,,4.113E+19,3.843E+19,4.188E+19
2013-11-03,1.10E+18,1.10E+18,1.16E+18,94.8,94.53,,4.223E+19,3.953E+19,4.304E+19
2013-11-04,1.01E+18,1.00E+18,1.02E+18,98.79,98.48,,4.324E+19,4.053E+19,4.406E+19
2013-11-05,1.85E+17,1.85E+17,1.89E+17,98,98,,4.343E+19,4.071E+19,4.425E+19
2013-11-06,4.57E+17,4.57E+17,4.61E+17,99.19,99.18,,4.388E+19,4.117E+19,4.471E+19
2013-11-07,1.05E+18,1.04E+18,1.06E+18,99.01,98.68,,4.493E+19,4.221E+19,4.577E+19
2013-11-08,1.01E+18,1.00E+18,1.02E+18,98.93,98.93,,4.594E+19,4.321E+19,4.679E+19
2013-11-09,1.02E+18,9.86E+17,1.03E+18,98.99,95.99,,4.696E+19,4.420E+19,4.782E+19
2013-11-10,1.04E+18,9.98E+17,1.05E+18,98.98,94.72,,4.800E+19,4.520E+19,4.887E+19
2013-11-11,9.96E+17,9.52E+17,1.01E+18,98.79,94.4,,4.900E+19,4.615E+19,4.988E+19
2013-11-12,1.03E+18,9.69E+17,1.05E+18,98.87,92.65,,5.003E+19,4.712E+19,5.093E+19
2013-11-13,1.05E+18,8.13E+17,1.07E+18,98.45,76.33,,5.108E+19,4.793E+19,5.200E+19
2013-11-14,9.68E+17,7.50E+17,1.09E+18,89.05,68.98,,5.205E+19,4.868E+19,5.309E+19
2013-11-15,9.83E+17,9.80E+17,1.01E+18,96.88,96.59,,5.303E+19,4.966E+19,5.410E+19
2013-11-16,9.17E+17,9.17E+17,9.31E+17,98.52,98.52,,5.395E+19,5.058E+19,5.504E+19
2013-11-17,5.36E+17,5.36E+17,5.43E+17,98.76,98.75,,5.448E+19,5.111E+19,5.558E+19
2013-11-18,5.82E+17,3.61E+17,5.98E+17,97.27,60.26,,5.507E+19,5.147E+19,5.618E+19
2013-11-19,1.01E+18,1.01E+18,1.03E+18,98.27,97.98,,5.608E+19,5.248E+19,5.721E+19
2013-11-20,9.65E+17,9.42E+17,9.86E+17,97.82,95.49,,5.704E+19,5.343E+19,5.819E+19
2013-11-21,8.61E+17,7.41E+17,8.90E+17,96.77,83.25,,5.790E+19,5.417E+19,5.908E+19
2013-11-22,9.34E+17,9.29E+17,9.64E+17,96.87,96.36,,5.884E+19,5.510E+19,6.005E+19
2013-11-23,9.34E+17,9.31E+17,9.57E+17,97.57,97.26,,5.977E+19,5.603E+19,6.100E+19
2013-11-24,9.25E+17,9.19E+17,9.35E+17,98.89,98.23,,6.070E+19,5.695E+19,6.194E+19
2013-11-25,4.20E+17,4.07E+17,4.24E+17,99.03,95.98,,6.112E+19,5.735E+19,6.236E+19
2013-11-26,1.39E+17,1.39E+17,1.42E+17,98.25,97.94,,6.125E+19,5.749E+19,6.250E+19
2013-11-27,5.39E+17,5.39E+17,5.50E+17,98.02,98.02,,6.179E+19,5.803E+19,6.305E+19
2013-11-28,9.51E+17,9.49E+17,9.70E+17,98.04,97.8,,6.274E+19,5.898E+19,6.402E+19
2013-11-29,9.24E+17,9.21E+17,9.41E+17,98.14,97.87,,6.367E+19,5.990E+19,6.497E+19
2013-11-30,9.23E+17,9.21E+17,9.31E+17,99.13,98.86,,6.459E+19,6.082E+19,6.590E+19
2013-12-01,8.64E+17,8.64E+17,8.73E+17,99,99,,6.546E+19,6.169E+19,6.677E+19
2013-12-02,8.86E+17,8.83E+17,9.03E+17,98.18,97.87,,6.634E+19,6.257E+19,6.767E+19
2013-12-03,1.06E+18,1.06E+18,1.08E+18,98.54,98.26,,6.740E+19,6.363E+19,6.875E+19
2013-12-04,1.92E+17,1.92E+17,1.93E+17,99.13,99.11,,6.759E+19,6.382E+19,6.895E+19
2013-12-05,0.00E+00,0.00E+00,0.00E+00,0,0,,6.759E+19,6.382E+19,6.895E+19
2013-12-06,0.00E+00,0.00E+00,0.00E+00,0,0,,6.759E+19,6.382E+19,6.895E+19
2013-12-07,7.57E+17,7.54E+17,7.65E+17,99.02,98.63,,6.835E+19,6.457E+19,6.971E+19
2013-12-08,7.50E+17,7.50E+17,7.57E+17,99.09,99.09,,6.910E+19,6.532E+19,7.047E+19
2013-12-09,7.13E+17,7.09E+17,7.19E+17,99.14,98.62,,6.981E+19,6.603E+19,7.119E+19
2013-12-10,8.93E+17,8.93E+17,9.05E+17,98.71,98.71,,7.071E+19,6.693E+19,7.209E+19
2013-12-11,9.25E+17,9.22E+17,9.35E+17,98.85,98.54,,7.163E+19,6.785E+19,7.303E+19
2013-12-12,1.04E+18,1.04E+18,1.05E+18,98.99,98.7,,7.267E+19,6.889E+19,7.408E+19
2013-12-13,9.94E+17,9.94E+17,1.00E+18,99.06,99.06,,7.367E+19,6.988E+19,7.508E+19
2013-12-14,1.10E+18,1.09E+18,1.11E+18,98.88,98.59,,7.477E+19,7.097E+19,7.619E+19
2013-12-15,1.07E+18,1.07E+18,1.08E+18,98.9,98.7,,7.584E+19,7.204E+19,7.727E+19
2013-12-16,1.13E+18,1.12E+18,1.14E+18,99.07,98.26,,7.697E+19,7.316E+19,7.841E+19
2013-12-17,1.05E+18,1.05E+18,1.06E+18,98.97,98.7,,7.802E+19,7.421E+19,7.947E+19
2013-12-18,8.87E+17,8.84E+17,8.97E+17,98.91,98.56,,7.890E+19,7.510E+19,8.036E+19
2013-12-19,1.09E+18,1.06E+18,1.10E+18,98.99,96.16,,7.999E+19,7.616E+19,8.146E+19
2013-12-20,1.04E+18,1.03E+18,1.05E+18,99.01,98.71,,8.103E+19,7.719E+19,8.251E+19
2013-12-21,7.54E+17,7.51E+17,7.74E+17,97.53,97.14,,8.179E+19,7.794E+19,8.329E+19
2013-12-22,1.10E+18,1.10E+18,1.12E+18,99,98.73,,8.289E+19,7.904E+19,8.441E+19
2013-12-23,1.08E+18,1.07E+18,1.09E+18,99,98.72,,8.397E+19,8.011E+19,8.550E+19
2013-12-24,1.08E+18,1.08E+18,1.09E+18,99.02,98.72,,8.505E+19,8.119E+19,8.659E+19
2013-12-25,1.10E+18,1.10E+18,1.11E+18,99.08,98.81,,8.615E+19,8.229E+19,8.770E+19
2013-12-26,1.03E+18,1.03E+18,1.04E+18,98.96,98.67,,8.718E+19,8.332E+19,8.874E+19
2013-12-27,1.02E+18,1.02E+18,1.03E+18,99,98.89,,8.820E+19,8.434E+19,8.977E+19
2013-12-28,1.11E+18,1.10E+18,1.12E+18,98.97,98.69,,8.931E+19,8.544E+19,9.089E+19
2013-12-29,1.14E+18,1.13E+18,1.15E+18,99.07,98.8,,9.045E+19,8.657E+19,9.204E+19
2013-12-30,1.12E+18,1.12E+18,1.14E+18,99.01,98.82,,9.157E+19,8.769E+19,9.318E+19
2013-12-31,1.02E+18,1.02E+18,1.15E+18,88.81,88.45,,9.259E+19,8.871E+19,9.433E+19
2014-01-01,3.93E+17,1.46E+17,1.12E+18,35.1,13.07,,9.298E+19,8.885E+19,9.545E+19
2014-01-02,1.15E+18,1.14E+18,1.16E+18,98.99,98.69,,9.413E+19,8.999E+19,9.661E+19
2014-01-03,1.01E+18,1.01E+18,1.02E+18,99.13,99.02,,9.514E+19,9.100E+19,9.763E+19
2014-01-04,1.14E+18,1.13E+18,1.15E+18,99,98.72,,9.628E+19,9.213E+19,9.878E+19
2014-01-05,1.13E+18,1.13E+18,1.14E+18,98.91,98.61,,9.741E+19,9.326E+19,9.992E+19
2014-01-06,1.02E+18,7.51E+17,1.03E+18,98.84,72.77,,9.843E+19,9.401E+19,1.009E+20
2014-01-07,1.15E+18,1.14E+18,1.17E+18,97.8,97.53,,9.958E+19,9.515E+19,1.021E+20
2014-01-08,1.11E+18,1.11E+18,1.12E+18,98.94,98.69,,1.007E+20,9.626E+19,1.032E+20
2014-01-09,1.02E+18,1.02E+18,1.09E+18,93.19,93,,1.017E+20,9.728E+19,1.043E+20
2014-01-10,9.13E+17,9.10E+17,9.34E+17,97.83,97.5,,1.026E+20,9.819E+19,1.053E+20
2014-01-11,8.45E+17,8.42E+17,8.53E+17,98.97,98.62,,1.035E+20,9.904E+19,1.061E+20
2014-01-12,1.08E+18,1.08E+18,1.09E+18,98.97,98.69,,1.045E+20,1.001E+20,1.072E+20
2014-01-13,1.02E+18,1.02E+18,1.03E+18,98.94,98.94,,1.056E+20,1.011E+20,1.082E+20
2014-01-14,8.86E+17,8.83E+17,1.11E+18,80.1,79.81,,1.065E+20,1.020E+20,1.093E+20
2014-01-15,1.06E+18,1.06E+18,1.07E+18,98.91,98.68,,1.075E+20,1.031E+20,1.104E+20
2014-01-16,9.28E+17,9.25E+17,9.39E+17,98.89,98.6,,1.084E+20,1.040E+20,1.114E+20
2014-01-17,4.74E+17,4.74E+17,4.78E+17,99.13,99.13,,1.089E+20,1.045E+20,1.118E+20
2014-01-18,2.69E+17,2.68E+17,2.72E+17,98.88,98.36,,1.092E+20,1.047E+20,1.121E+20
2014-01-19,4.37E+17,4.36E+17,4.42E+17,98.88,98.58,,1.096E+20,1.052E+20,1.125E+20
2014-01-20,1.00E+18,9.99E+17,1.01E+18,98.77,98.5,,1.106E+20,1.062E+20,1.136E+20
2014-01-21,6.97E+17,6.94E+17,7.04E+17,99.07,98.65,,1.113E+20,1.069E+20,1.143E+20
2014-01-22,9.04E+17,9.04E+17,9.22E+17,98.04,98.04,,1.122E+20,1.078E+20,1.152E+20
2014-01-23,6.85E+17,6.80E+17,7.55E+17,90.78,90.07,,1.129E+20,1.085E+20,1.159E+20
2014-01-24,8.88E+17,8.88E+17,8.96E+17,99.04,99.04,,1.138E+20,1.093E+20,1.168E+20
2014-01-25,9.32E+17,9.30E+17,9.42E+17,99,98.7,,1.147E+20,1.103E+20,1.178E+20
2014-01-26,7.61E+17,7.58E+17,7.69E+17,98.92,98.55,,1.155E+20,1.110E+20,1.185E+20
2014-01-27,8.70E+17,8.67E+17,8.78E+17,99.12,98.8,,1.164E+20,1.119E+20,1.194E+20
2014-01-28,3.26E+17,3.26E+17,3.29E+17,98.9,98.9,,1.167E+20,1.122E+20,1.198E+20
2014-01-29,9.96E+17,9.93E+17,1.01E+18,98.69,98.42,,1.177E+20,1.132E+20,1.208E+20
2014-01-30,1.05E+18,1.05E+18,1.07E+18,98.95,98.79,,1.187E+20,1.143E+20,1.218E+20
2014-01-31,1.03E+18,1.03E+18,1.04E+18,99,98.74,,1.198E+20,1.153E+20,1.229E+20
2014-02-01,9.89E+17,9.86E+17,9.98E+17,99.08,98.78,,1.207E+20,1.163E+20,1.239E+20
2014-02-02,9.71E+17,9.68E+17,9.80E+17,99.04,98.74,,1.217E+20,1.173E+20,1.248E+20
2014-02-03,1.03E+18,1.03E+18,1.04E+18,98.96,98.68,,1.228E+20,1.183E+20,1.259E+20
2014-02-04,9.25E+17,9.16E+17,9.36E+17,98.89,97.94,,1.237E+20,1.192E+20,1.268E+20
2014-02-05,5.09E+17,5.09E+17,5.14E+17,99.03,99.03,,1.242E+20,1.197E+20,1.273E+20
2014-02-06,8.06E+17,8.03E+17,8.86E+17,90.93,90.63,,1.250E+20,1.205E+20,1.282E+20
2014-02-07,9.76E+17,9.73E+17,9.84E+17,99.14,98.84,,1.260E+20,1.215E+20,1.292E+20
2014-02-08,9.87E+17,9.84E+17,9.97E+17,99.07,98.76,,1.270E+20,1.225E+20,1.302E+20
2014-02-09,5.11E+17,5.07E+17,5.17E+17,98.94,97.98,,1.275E+20,1.230E+20,1.307E+20
2014-02-10,7.28E+17,7.26E+17,7.35E+17,99.07,98.74,,1.282E+20,1.237E+20,1.315E+20
2014-02-11,6.73E+17,6.72E+17,6.79E+17,99.05,98.99,,1.289E+20,1.244E+20,1.321E+20
2014-02-12,7.94E+17,7.89E+17,8.02E+17,99.08,98.42,,1.297E+20,1.252E+20,1.329E+20
2014-02-13,5.16E+17,5.16E+17,5.20E+17,99.07,99.07,,1.302E+20,1.257E+20,1.335E+20
2014-02-14,6.00E+17,6.00E+17,6.05E+17,99.22,99.22,,1.308E+20,1.263E+20,1.341E+20
2014-02-15,3.98E+17,3.97E+17,4.01E+17,99.12,98.85,,1.312E+20,1.267E+20,1.345E+20
2014-02-16,3.83E+17,3.82E+17,3.87E+17,99.07,98.78,,1.316E+20,1.271E+20,1.349E+20
2014-02-17,5.01E+17,4.99E+17,5.05E+17,99.13,98.82,,1.321E+20,1.276E+20,1.354E+20
2014-02-18,1.00E+17,1.00E+17,1.01E+17,99.36,99.36,,1.322E+20,1.277E+20,1.355E+20
2014-02-19,0.00E+00,0.00E+00,0.00E+00,0,0,,1.322E+20,1.277E+20,1.355E+20
2014-02-20,1.38E+17,1.38E+17,1.39E+17,98.85,98.85,,1.323E+20,1.278E+20,1.356E+20
2014-02-21,3.99E+16,3.99E+16,4.05E+16,98.53,98.53,,1.323E+20,1.278E+20,1.356E+20
2014-02-22,9.08E+17,9.05E+17,9.15E+17,99.23,98.96,,1.332E+20,1.287E+20,1.366E+20
2014-02-23,9.40E+17,9.37E+17,9.48E+17,99.12,98.84,,1.342E+20,1.297E+20,1.375E+20
2014-02-24,9.65E+17,8.78E+17,9.74E+17,99.07,90.14,,1.351E+20,1.306E+20,1.385E+20
2014-02-25,9.85E+17,9.82E+17,9.93E+17,99.13,98.85,,1.361E+20,1.315E+20,1.395E+20
2014-02-26,9.85E+17,9.82E+17,9.93E+17,99.2,98.88,,1.371E+20,1.325E+20,1.405E+20
2014-02-27,1.06E+18,1.06E+18,1.07E+18,99.23,98.92,,1.382E+20,1.336E+20,1.415E+20
2014-02-28,1.08E+18,1.07E+18,1.09E+18,99.09,98.81,,1.393E+20,1.347E+20,1.426E+20
2014-03-01,9.94E+17,9.94E+17,1.00E+18,99.06,99.06,,1.403E+20,1.356E+20,1.436E+20
2014-03-02,8.46E+17,8.43E+17,8.54E+17,99.04,98.69,,1.411E+20,1.365E+20,1.445E+20
2014-03-03,8.17E+17,8.14E+17,8.23E+17,99.22,98.91,,1.419E+20,1.373E+20,1.453E+20
2014-03-04,1.12E+18,1.12E+18,1.13E+18,99.2,98.92,,1.430E+20,1.384E+20,1.464E+20
2014-03-05,8.62E+17,8.60E+17,8.70E+17,99.07,98.89,,1.439E+20,1.393E+20,1.473E+20
2014-03-06,1.04E+18,1.04E+18,1.05E+18,99.25,98.97,,1.449E+20,1.403E+20,1.483E+20
2014-03-07,8.08E+17,8.05E+17,8.15E+17,99.18,98.88,,1.457E+20,1.411E+20,1.492E+20
2014-03-08,9.90E+17,9.88E+17,9.99E+17,99.15,98.87,,1.467E+20,1.421E+20,1.502E+20
2014-03-09,9.01E+17,5.46E+17,9.09E+17,99.07,60.04,,1.476E+20,1.427E+20,1.511E+20
2014-03-10,1.05E+18,6.12E+16,1.05E+18,99.18,5.81,,1.487E+20,1.427E+20,1.521E+20
2014-03-11,8.97E+17,3.90E+16,9.05E+17,99.13,4.31,,1.496E+20,1.428E+20,1.530E+20
2014-03-12,7.75E+17,7.57E+16,7.82E+17,99.2,9.68,,1.504E+20,1.428E+20,1.538E+20
2014-03-13,1.10E+18,4.58E+17,1.11E+18,99.19,41.45,,1.515E+20,1.433E+20,1.549E+20
2014-03-14,1.04E+18,1.04E+18,1.06E+18,98.17,97.79,,1.525E+20,1.443E+20,1.560E+20
2014-03-15,1.10E+18,1.09E+18,1.11E+18,98.48,98.24,,1.536E+20,1.454E+20,1.571E+20
2014-03-16,1.05E+18,1.05E+18,1.09E+18,96.74,96.47,,1.546E+20,1.465E+20,1.582E+20
2014-03-17,9.88E+17,9.79E+17,1.03E+18,95.6,94.75,,1.556E+20,1.475E+20,1.592E+20
2014-03-18,1.10E+18,1.08E+18,1.11E+18,99.18,97.67,,1.567E+20,1.485E+20,1.603E+20
2014-03-19,1.10E+18,1.10E+18,1.11E+18,99.23,98.96,,1.578E+20,1.496E+20,1.614E+20
2014-03-20,1.07E+18,1.06E+18,1.08E+18,99.23,98.55,,1.589E+20,1.507E+20,1.625E+20
2014-03-21,1.08E+18,1.07E+18,1.08E+18,99.27,99.01,,1.600E+20,1.518E+20,1.636E+20
2014-03-22,1.06E+18,1.06E+18,1.07E+18,99.24,99.01,,1.610E+20,1.528E+20,1.647E+20
2014-03-23,1.05E+18,1.05E+18,1.06E+18,99.18,98.88,,1.621E+20,1.539E+20,1.657E+20
2014-03-24,1.15E+18,1.14E+18,1.16E+18,99.14,98.86,,1.632E+20,1.550E+20,1.669E+20
2014-03-25,1.19E+18,1.18E+18,1.20E+18,99.13,98.88,,1.644E+20,1.562E+20,1.681E+20
2014-03-26,1.92E+17,1.92E+17,1.93E+17,99.26,99.26,,1.646E+20,1.564E+20,1.683E+20
2014-03-27,0.00E+00,0.00E+00,9.24E+13,0,0,,1.646E+20,1.564E+20,1.683E+20
2014-03-28,1.74E+17,1.74E+17,1.76E+17,99.19,99.19,,1.648E+20,1.566E+20,1.684E+20
2014-03-29,1.01E+18,9.95E+17,1.02E+18,98.7,97.45,,1.658E+20,1.576E+20,1.695E+20
2014-03-30,9.07E+17,9.04E+17,9.16E+17,98.96,98.7,,1.667E+20,1.585E+20,1.704E+20
2014-03-31,6.69E+17,6.67E+17,6.74E+17,99.24,98.87,,1.674E+20,1.591E+20,1.711E+20
2014-04-01,1.03E+18,1.03E+18,1.04E+18,99.18,98.91,,1.684E+20,1.602E+20,1.721E+20
2014-04-02,1.05E+18,1.05E+18,1.06E+18,99.13,98.86,,1.695E+20,1.612E+20,1.732E+20
2014-04-03,8.18E+17,8.13E+17,8.26E+17,99.1,98.42,,1.703E+20,1.620E+20,1.740E+20
2014-04-04,4.75E+17,4.72E+17,9.60E+17,49.49,49.18,,1.708E+20,1.625E+20,1.749E+20
2014-04-05,1.03E+18,1.03E+18,1.04E+18,99.11,98.82,,1.718E+20,1.635E+20,1.760E+20
2014-04-06,1.01E+18,1.01E+18,1.02E+18,99.11,98.83,,1.728E+20,1.645E+20,1.770E+20
2014-04-07,1.05E+18,1.04E+18,1.05E+18,99.22,98.94,,1.739E+20,1.656E+20,1.781E+20
2014-04-08,7.43E+17,7.43E+17,7.49E+17,99.22,99.22,,1.746E+20,1.663E+20,1.788E+20
2014-04-09,9.04E+17,9.01E+17,9.11E+17,99.14,98.82,,1.755E+20,1.672E+20,1.797E+20
2014-04-10,8.99E+17,8.96E+17,9.07E+17,99.19,98.85,,1.764E+20,1.681E+20,1.806E+20
2014-04-11,1.08E+18,1.08E+18,1.09E+18,99.16,98.89,,1.775E+20,1.692E+20,1.817E+20
2014-04-12,1.01E+18,1.01E+18,1.02E+18,99.15,98.88,,1.785E+20,1.702E+20,1.827E+20
2014-04-13,1.04E+18,1.03E+18,1.05E+18,99.09,98.82,,1.795E+20,1.712E+20,1.838E+20
2014-04-14,1.03E+18,1.03E+18,1.04E+18,99.11,98.83,,1.806E+20,1.723E+20,1.848E+20
2014-04-15,1.06E+18,1.05E+18,1.07E+18,99.13,98.84,,1.816E+20,1.733E+20,1.859E+20
2014-04-16,1.10E+18,1.10E+18,1.11E+18,99.05,98.77,,1.827E+20,1.744E+20,1.870E+20
2014-04-17,1.08E+18,1.08E+18,1.09E+18,99.02,98.74,,1.838E+20,1.755E+20,1.881E+20
2014-04-18,1.04E+18,1.03E+18,1.05E+18,99.01,98.76,,1.848E+20,1.765E+20,1.891E+20
2014-04-19,1.10E+18,1.09E+18,1.11E+18,99.02,98.74,,1.859E+20,1.776E+20,1.902E+20
2014-04-20,1.07E+18,1.07E+18,1.08E+18,99.01,98.73,,1.870E+20,1.787E+20,1.913E+20
2014-04-21,1.08E+18,1.08E+18,1.09E+18,99.03,98.73,,1.881E+20,1.798E+20,1.924E+20
2014-04-22,1.01E+18,1.01E+18,1.02E+18,98.99,98.68,,1.891E+20,1.808E+20,1.934E+20
2014-04-23,8.16E+17,8.16E+17,8.23E+17,99.08,99.08,,1.899E+20,1.816E+20,1.943E+20
2014-04-24,1.10E+18,1.09E+18,1.13E+18,97.71,96.78,,1.910E+20,1.827E+20,1.954E+20
2014-04-25,1.14E+18,1.12E+18,1.15E+18,99.03,97.38,,1.922E+20,1.838E+20,1.965E+20
2014-04-26,1.07E+18,1.07E+18,1.09E+18,99,98.73,,1.932E+20,1.849E+20,1.976E+20
2014-04-27,8.74E+17,8.74E+17,8.83E+17,99.05,98.98,,1.941E+20,1.857E+20,1.985E+20
2014-04-28,1.00E+18,1.00E+18,1.01E+18,99.07,98.77,,1.951E+20,1.867E+20,1.995E+20
2014-04-29,1.08E+18,1.08E+18,1.09E+18,99,98.75,,1.962E+20,1.878E+20,2.006E+20
2014-04-30,1.06E+18,1.05E+18,1.07E+18,98.99,98.69,,1.972E+20,1.889E+20,2.017E+20
2014-05-01,1.01E+18,1.00E+18,1.02E+18,98.38,97.92,,1.982E+20,1.899E+20,2.027E+20
2014-05-02,1.07E+18,1.07E+18,1.08E+18,98.97,98.71,,1.993E+20,1.909E+20,2.038E+20
2014-05-03,1.12E+18,1.12E+18,1.13E+18,98.97,98.7,,2.004E+20,1.921E+20,2.049E+20
